Label,Fs1,Fs2,Fs3,Fs4,Fs5,Fs6,Fs7,Fs8,Fs9,Fs10,Fs11,Fs12,Fs13,Fs14,Fs15,Fs16,Fs17,Fs18,Fs19,Fs20,Fs21,Fs22,Fs23,Fs24,Fs25,Fs26,Fs27,Fs28,Fs29,Fs30,Fs31,Fs32,Fs33,Fs34,Fs35,Fs36,Fs37,Fs38,Fs39
DDoS,"[52869tcp00S0, 284623]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 284767]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 284630]","[80tcp00S0, 256186]","[8080tcp00S0, 28461]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 202]","[53udp1560S0, 102]","[18344tcp00RSTOS0, 59]","[17576tcp00RSTOS0, 43]","[10icmp800OTH, 43]","[123udp960S0, 31]","[17832tcp00RSTOS0, 26]","[80tcp00RSTO, 26]","[0icmp560OTH, 24]","[80tcp00RSTRH, 19]","[0icmp800OTH, 19]","[13icmp560OTH, 17]","[1icmp800OTH, 15]","[3icmp800OTH, 12]","[1icmp560OTH, 7]","[8080tcp00RSTRH, 4]","[53udp780S0, 3]","[17576tcp00REJ, 3]","[1icmp880OTH, 3]","[17832tcp00REJ, 2]","[53udp78206SF, 2]","[0icmp1360OTH, 2]","[49306tcp00RSTOS0, 1]","[123udp9696SF, 1]","[1icmp1360OTH, 1]","[13icmp800OTH, 1]","[0icmp880OTH, 1]","[0icmp2880OTH, 1]","[44524tcp00REJ, 1]","[3icmp880OTH, 1]","[53udp156206SF, 1]",,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 143]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 284450]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 284309]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 284624]","[80tcp00S0, 256214]","[8080tcp00S0, 28464]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 168]","[53udp1560S0, 83]","[123udp960S0, 57]","[10icmp800OTH, 46]","[18344tcp00RSTOS0, 46]","[17576tcp00RSTOS0, 40]","[80tcp00RSTRH, 30]","[0icmp560OTH, 28]","[17832tcp00RSTOS0, 26]","[80tcp00RSTO, 21]","[0icmp800OTH, 17]","[1icmp800OTH, 16]","[13icmp560OTH, 8]","[1icmp560OTH, 8]","[53udp780S0, 7]","[53udp78206SF, 5]","[1icmp880OTH, 5]","[3icmp800OTH, 3]","[0icmp880OTH, 3]","[8080tcp00RSTRH, 2]","[8080tcp00RSTO, 2]","[53udp156206SF, 2]","[17832tcp00REJ, 1]","[3icmp1600OTH, 1]","[13icmp840OTH, 1]","[1icmp1360OTH, 1]","[0icmp2800OTH, 1]","[13icmp800OTH, 1]",,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 144]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 284619]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 284780]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 284621]","[80tcp00S0, 256070]","[8080tcp00S0, 28452]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 218]","[53udp1560S0, 109]","[17576tcp00RSTOS0, 59]","[18344tcp00RSTOS0, 48]","[10icmp800OTH, 41]","[17832tcp00RSTOS0, 35]","[0icmp800OTH, 27]","[123udp960S0, 25]","[0icmp560OTH, 22]","[1icmp800OTH, 21]","[80tcp00RSTO, 21]","[80tcp00RSTRH, 19]","[13icmp560OTH, 10]","[1icmp880OTH, 5]","[0icmp1360OTH, 4]","[13icmp840OTH, 4]","[3icmp800OTH, 2]","[8080tcp00RSTRH, 2]","[1icmp560OTH, 2]","[17576tcp00REJ, 2]","[13icmp1360OTH, 1]","[0icmp880OTH, 1]","[8080tcp00RSTO, 1]","[17832tcp00REJ, 1]","[1icmp1360OTH, 1]","[0icmp1760OTH, 1]","[53udp78206SF, 1]","[53udp780S0, 1]",,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 144]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 284627]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 284777]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 284791]","[80tcp00S0, 256202]","[8080tcp00S0, 28465]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 212]","[53udp1560S0, 106]","[10icmp800OTH, 46]","[18344tcp00RSTOS0, 46]","[17832tcp00RSTOS0, 42]","[123udp960S0, 30]","[80tcp00RSTRH, 30]","[1icmp800OTH, 24]","[0icmp560OTH, 23]","[17576tcp00RSTOS0, 22]","[80tcp00RSTO, 19]","[0icmp800OTH, 17]","[13icmp560OTH, 12]","[3icmp800OTH, 6]","[8080tcp00RSTRH, 5]","[0icmp1360OTH, 4]","[1icmp560OTH, 4]","[17576tcp00REJ, 3]","[0icmp920OTH, 1]","[1icmp880OTH, 1]","[1icmp1200OTH, 1]","[123udp57696SF, 1]","[53udp156206SF, 1]",,,,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 144]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 284614]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 284613]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 284779]","[80tcp00S0, 256202]","[8080tcp00S0, 28460]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 176]","[53udp1560S0, 88]","[18344tcp00RSTOS0, 58]","[17576tcp00RSTOS0, 47]","[123udp960S0, 40]","[10icmp800OTH, 37]","[17832tcp00RSTOS0, 25]","[0icmp560OTH, 24]","[80tcp00RSTO, 22]","[80tcp00RSTRH, 21]","[0icmp800OTH, 18]","[1icmp560OTH, 13]","[1icmp800OTH, 12]","[53udp780S0, 10]","[13icmp560OTH, 9]","[53udp78206SF, 8]","[1icmp880OTH, 8]","[0icmp1360OTH, 5]","[3icmp800OTH, 5]","[17576tcp00REJ, 5]","[8080tcp00RSTRH, 4]","[0icmp880OTH, 2]","[0icmp2800OTH, 1]","[53udp156206SF, 1]","[13icmp840OTH, 1]","[123udp57696SF, 1]","[0icmp1120OTH, 1]","[13icmp800OTH, 1]",,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 142]","[666tcp00REJ, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 284613]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 284458]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 284476]","[80tcp00S0, 256076]","[8080tcp00S0, 28446]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 150]","[53udp1560S0, 76]","[123udp960S0, 61]","[18344tcp00RSTOS0, 56]","[10icmp800OTH, 43]","[17576tcp00RSTOS0, 40]","[80tcp00RSTRH, 38]","[80tcp00RSTO, 28]","[0icmp560OTH, 26]","[0icmp800OTH, 23]","[17832tcp00RSTOS0, 21]","[1icmp800OTH, 17]","[13icmp560OTH, 15]","[53udp78206SF, 10]","[53udp780S0, 10]","[1icmp560OTH, 8]","[1icmp880OTH, 6]","[3icmp800OTH, 5]","[8080tcp00RSTRH, 4]","[123udp9696SF, 2]","[13icmp800OTH, 2]","[17576tcp00REJ, 2]","[8080tcp00RSTO, 2]","[0icmp1360OTH, 2]","[0icmp880OTH, 1]","[80tcp00REJ, 1]","[13icmp840OTH, 1]","[18344tcp00REJ, 1]",,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 144]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 284618]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 284767]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 284458]","[80tcp00S0, 256379]","[8080tcp00S0, 28484]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 206]","[53udp1560S0, 103]","[18344tcp00RSTOS0, 73]","[123udp960S0, 42]","[17576tcp00RSTOS0, 42]","[10icmp800OTH, 37]","[1icmp800OTH, 26]","[17832tcp00RSTOS0, 22]","[80tcp00RSTRH, 21]","[80tcp00RSTO, 21]","[0icmp560OTH, 19]","[0icmp800OTH, 18]","[13icmp560OTH, 6]","[0icmp1360OTH, 6]","[3icmp800OTH, 6]","[1icmp560OTH, 5]","[8080tcp00RSTRH, 5]","[1icmp880OTH, 3]","[53udp78206SF, 2]","[53udp780S0, 2]","[17576tcp00REJ, 1]","[8080tcp00RSTO, 1]","[50628tcp00RSTOS0, 1]","[1icmp1360OTH, 1]",,,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 143]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 284614]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 284611]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 284618]","[80tcp00S0, 256197]","[8080tcp00S0, 28465]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 196]","[53udp1560S0, 98]","[17576tcp00RSTOS0, 55]","[18344tcp00RSTOS0, 48]","[123udp960S0, 38]","[17832tcp00RSTOS0, 33]","[10icmp800OTH, 32]","[80tcp00RSTRH, 26]","[1icmp800OTH, 25]","[0icmp560OTH, 25]","[0icmp800OTH, 24]","[80tcp00RSTO, 22]","[13icmp560OTH, 11]","[1icmp560OTH, 7]","[0icmp1360OTH, 4]","[53udp780S0, 3]","[3icmp800OTH, 3]","[8080tcp00RSTRH, 3]","[17576tcp00REJ, 2]","[53udp156206SF, 2]","[18344tcp00REJ, 1]","[1icmp880OTH, 1]","[8080tcp00RSTO, 1]","[80tcp00REJ, 1]","[53udp78206SF, 1]","[13icmp840OTH, 1]","[3icmp1600OTH, 1]",,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 144]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 284622]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 284446]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 284466]","[80tcp00S0, 256070]","[8080tcp00S0, 28448]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 142]","[53udp1560S0, 70]","[18344tcp00RSTOS0, 66]","[10icmp800OTH, 63]","[123udp960S0, 58]","[17576tcp00RSTOS0, 47]","[17832tcp00RSTOS0, 42]","[0icmp560OTH, 21]","[80tcp00RSTO, 19]","[1icmp800OTH, 17]","[80tcp00RSTRH, 14]","[0icmp800OTH, 13]","[53udp78206SF, 13]","[53udp780S0, 13]","[13icmp560OTH, 9]","[0icmp1360OTH, 7]","[3icmp800OTH, 6]","[17576tcp00REJ, 5]","[1icmp560OTH, 4]","[1icmp880OTH, 3]","[0icmp2800OTH, 2]","[8080tcp00RSTRH, 2]","[0icmp880OTH, 2]","[13icmp840OTH, 1]","[18344tcp00REJ, 1]","[13icmp800OTH, 1]","[123udp9696SF, 1]","[123udp1920S0, 1]","[17832tcp00REJ, 1]",,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 144]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 284600]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 284615]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 284789]","[80tcp00S0, 256200]","[8080tcp00S0, 28462]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 162]","[53udp1560S0, 82]","[18344tcp00RSTOS0, 58]","[123udp960S0, 48]","[17576tcp00RSTOS0, 47]","[10icmp800OTH, 39]","[80tcp00RSTRH, 34]","[1icmp800OTH, 28]","[17832tcp00RSTOS0, 27]","[80tcp00RSTO, 24]","[0icmp560OTH, 21]","[0icmp800OTH, 13]","[13icmp560OTH, 9]","[53udp78206SF, 6]","[53udp780S0, 6]","[8080tcp00RSTRH, 5]","[3icmp800OTH, 5]","[0icmp1360OTH, 5]","[1icmp560OTH, 5]","[17576tcp00REJ, 4]","[13icmp800OTH, 3]","[1icmp880OTH, 3]","[0icmp1120OTH, 1]","[53udp78302SF, 1]","[17832tcp00REJ, 1]","[53udp156206SF, 1]","[1icmp1360OTH, 1]",,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 143]","[666tcp00REJ, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 284776]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 284465]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 284474]","[80tcp00S0, 256065]","[8080tcp00S0, 28447]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 84]","[53udp1560S0, 42]","[17576tcp00RSTOS0, 27]","[10icmp800OTH, 25]","[18344tcp00RSTOS0, 24]","[17832tcp00RSTOS0, 23]","[123udp960S0, 18]","[80tcp00RSTRH, 10]","[80tcp00RSTO, 10]","[0icmp560OTH, 9]","[1icmp800OTH, 8]","[0icmp800OTH, 6]","[13icmp560OTH, 4]","[53udp780S0, 2]","[53udp78206SF, 2]","[0icmp1360OTH, 2]","[17832tcp00REJ, 2]","[3icmp800OTH, 1]","[13icmp840OTH, 1]","[8080tcp00RSTRH, 1]","[0icmp880OTH, 1]","[0icmp2800OTH, 1]","[17576tcp00REJ, 1]","[13icmp800OTH, 1]","[51384tcp00RSTOS0, 1]",,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 62]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 125109]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 125109]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 125269]","[80tcp00S0, 112769]","[8080tcp00S0, 12527]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
