Label,Fs1,Fs2,Fs3,Fs4,Fs5,Fs6,Fs7,Fs8,Fs9,Fs10,Fs11,Fs12,Fs13,Fs14,Fs15,Fs16,Fs17,Fs18,Fs19,Fs20,Fs21,Fs22,Fs23,Fs24,Fs25,Fs26,Fs27,Fs28,Fs29,Fs30,Fs31,Fs32,Fs33,Fs34,Fs35,Fs36,Fs37,Fs38,Fs39,Fs40,Fs41,Fs42,Fs43,Fs44,Fs45,Fs46,Fs47
Benign,"[53udp9090SF, 394]","[53udp1560S0, 197]","[18344tcp00RSTOS0, 112]","[10icmp800OTH, 105]","[17576tcp00RSTOS0, 89]","[123udp960S0, 75]","[17832tcp00RSTOS0, 66]","[80tcp00RSTRH, 58]","[1icmp800OTH, 52]","[80tcp00RSTO, 48]","[0icmp560OTH, 42]","[0icmp800OTH, 31]","[13icmp560OTH, 25]","[1icmp560OTH, 13]","[0icmp1360OTH, 13]","[1icmp880OTH, 10]","[3icmp800OTH, 10]","[8080tcp00RSTRH, 9]","[53udp780S0, 7]","[53udp78206SF, 6]","[17832tcp00REJ, 6]","[53udp156206SF, 1]","[123udp1920S0, 1]","[13icmp800OTH, 1]","[13icmp840OTH, 1]","[0icmp2800OTH, 1]","[0icmp880OTH, 1]","[13icmp920OTH, 1]","[48252tcp00RSTOS0, 1]","[17576tcp00REJ, 1]","[8080tcp00RSTO, 1]","[0icmp920OTH, 1]","[13icmp1360OTH, 1]",,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 284]","[666tcp00REJ, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 568912]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 569241]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 569088]","[80tcp00S0, 512283]","[8080tcp00S0, 56910]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 346]","[53udp1560S0, 172]","[18344tcp00RSTOS0, 120]","[10icmp800OTH, 106]","[17576tcp00RSTOS0, 104]","[123udp960S0, 96]","[17832tcp00RSTOS0, 56]","[0icmp560OTH, 43]","[80tcp00RSTO, 38]","[80tcp00RSTRH, 38]","[1icmp800OTH, 37]","[0icmp800OTH, 34]","[13icmp560OTH, 24]","[1icmp560OTH, 12]","[53udp780S0, 11]","[0icmp1360OTH, 11]","[53udp78206SF, 9]","[3icmp800OTH, 8]","[1icmp880OTH, 8]","[53udp156206SF, 5]","[8080tcp00RSTRH, 3]","[17576tcp00REJ, 3]","[53udp78188SF, 2]","[17832tcp00REJ, 2]","[18344tcp00REJ, 2]","[53udp7878SF, 1]","[0icmp2800OTH, 1]","[3icmp1600OTH, 1]","[8080tcp00RSTO, 1]","[0icmp1600OTH, 1]","[0icmp880OTH, 1]","[123udp1920S0, 1]",,,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 285]","[666tcp00REJ, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 569090]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 569244]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 569408]","[80tcp00S0, 512403]","[8080tcp00S0, 56926]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 384]","[53udp1560S0, 193]","[18344tcp00RSTOS0, 142]","[10icmp800OTH, 102]","[123udp960S0, 78]","[17832tcp00RSTOS0, 73]","[17576tcp00RSTOS0, 70]","[80tcp00RSTRH, 50]","[0icmp560OTH, 50]","[80tcp00RSTO, 44]","[1icmp800OTH, 31]","[0icmp800OTH, 29]","[13icmp560OTH, 19]","[0icmp1360OTH, 13]","[1icmp560OTH, 11]","[17576tcp00REJ, 9]","[53udp780S0, 8]","[1icmp880OTH, 7]","[3icmp800OTH, 6]","[53udp78206SF, 6]","[8080tcp00RSTRH, 6]","[8080tcp00RSTO, 4]","[53udp156206SF, 3]","[13icmp840OTH, 3]","[53udp7878SF, 1]","[13icmp800OTH, 1]","[1icmp1360OTH, 1]","[49012tcp00RSTOS0, 1]","[0icmp880OTH, 1]",,,,,,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 287]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 569236]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 569067]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 569422]","[80tcp00S0, 511987]","[8080tcp00S0, 56881]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 398]","[53udp1560S0, 199]","[18344tcp00RSTOS0, 117]","[10icmp800OTH, 95]","[17576tcp00RSTOS0, 94]","[123udp960S0, 74]","[17832tcp00RSTOS0, 62]","[0icmp560OTH, 48]","[80tcp00RSTRH, 41]","[80tcp00RSTO, 40]","[0icmp800OTH, 40]","[1icmp800OTH, 30]","[13icmp560OTH, 21]","[3icmp800OTH, 17]","[1icmp560OTH, 11]","[17576tcp00REJ, 7]","[0icmp1360OTH, 6]","[53udp780S0, 6]","[8080tcp00RSTRH, 6]","[53udp156206SF, 4]","[1icmp880OTH, 4]","[13icmp1360OTH, 3]","[0icmp880OTH, 2]","[17832tcp00REJ, 2]","[53udp78206SF, 2]","[39680tcp00REJ, 1]","[49306tcp00RSTOS0, 1]","[13icmp840OTH, 1]","[1icmp1360OTH, 1]","[123udp9696SF, 1]","[13icmp800OTH, 1]","[0icmp2880OTH, 1]","[44524tcp00REJ, 1]","[3icmp880OTH, 1]",,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 287]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 569073]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 569076]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 569254]","[80tcp00S0, 512400]","[8080tcp00S0, 56925]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 386]","[53udp1560S0, 192]","[17576tcp00RSTOS0, 99]","[18344tcp00RSTOS0, 94]","[10icmp800OTH, 87]","[123udp960S0, 82]","[17832tcp00RSTOS0, 61]","[0icmp560OTH, 50]","[80tcp00RSTRH, 49]","[0icmp800OTH, 44]","[80tcp00RSTO, 42]","[1icmp800OTH, 37]","[13icmp560OTH, 18]","[1icmp560OTH, 10]","[1icmp880OTH, 10]","[53udp780S0, 8]","[53udp78206SF, 6]","[13icmp840OTH, 5]","[3icmp800OTH, 5]","[8080tcp00RSTRH, 4]","[0icmp1360OTH, 4]","[0icmp880OTH, 4]","[8080tcp00RSTO, 3]","[1icmp1360OTH, 2]","[17576tcp00REJ, 2]","[53udp156206SF, 2]","[17832tcp00REJ, 2]","[0icmp2800OTH, 1]","[13icmp800OTH, 1]","[3icmp1600OTH, 1]","[13icmp1360OTH, 1]","[0icmp1760OTH, 1]",,,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 288]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 569246]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 569557]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 569412]","[80tcp00S0, 512272]","[8080tcp00S0, 56917]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 388]","[53udp1560S0, 194]","[18344tcp00RSTOS0, 104]","[10icmp800OTH, 83]","[123udp960S0, 70]","[17576tcp00RSTOS0, 69]","[17832tcp00RSTOS0, 67]","[80tcp00RSTRH, 51]","[0icmp560OTH, 47]","[80tcp00RSTO, 41]","[1icmp800OTH, 36]","[0icmp800OTH, 35]","[13icmp560OTH, 21]","[1icmp560OTH, 17]","[3icmp800OTH, 11]","[53udp780S0, 10]","[0icmp1360OTH, 9]","[8080tcp00RSTRH, 9]","[1icmp880OTH, 9]","[53udp78206SF, 8]","[17576tcp00REJ, 8]","[53udp156206SF, 2]","[0icmp880OTH, 2]","[123udp57696SF, 2]","[0icmp920OTH, 1]","[1icmp1200OTH, 1]","[0icmp2800OTH, 1]","[13icmp840OTH, 1]","[0icmp1120OTH, 1]","[13icmp800OTH, 1]",,,,,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 286]","[666tcp00REJ, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 569227]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 569071]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 569255]","[80tcp00S0, 512278]","[8080tcp00S0, 56906]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 356]","[53udp1560S0, 179]","[18344tcp00RSTOS0, 129]","[123udp960S0, 103]","[17576tcp00RSTOS0, 82]","[10icmp800OTH, 80]","[80tcp00RSTRH, 59]","[80tcp00RSTO, 49]","[0icmp560OTH, 45]","[17832tcp00RSTOS0, 43]","[1icmp800OTH, 43]","[0icmp800OTH, 41]","[13icmp560OTH, 21]","[1icmp560OTH, 13]","[53udp78206SF, 12]","[53udp780S0, 12]","[3icmp800OTH, 11]","[1icmp880OTH, 9]","[8080tcp00RSTRH, 9]","[0icmp1360OTH, 8]","[17576tcp00REJ, 3]","[8080tcp00RSTO, 3]","[123udp9696SF, 2]","[13icmp800OTH, 2]","[0icmp880OTH, 1]","[80tcp00REJ, 1]","[13icmp840OTH, 1]","[18344tcp00REJ, 1]","[50628tcp00RSTOS0, 1]","[1icmp1360OTH, 1]",,,,,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 287]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 569232]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 569378]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 569076]","[80tcp00S0, 512576]","[8080tcp00S0, 56949]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 338]","[53udp1560S0, 168]","[18344tcp00RSTOS0, 114]","[17576tcp00RSTOS0, 102]","[123udp960S0, 96]","[10icmp800OTH, 95]","[17832tcp00RSTOS0, 75]","[0icmp560OTH, 46]","[1icmp800OTH, 42]","[80tcp00RSTO, 41]","[80tcp00RSTRH, 40]","[0icmp800OTH, 37]","[13icmp560OTH, 20]","[53udp780S0, 16]","[53udp78206SF, 14]","[1icmp560OTH, 11]","[0icmp1360OTH, 11]","[3icmp800OTH, 9]","[17576tcp00REJ, 7]","[8080tcp00RSTRH, 5]","[1icmp880OTH, 4]","[18344tcp00REJ, 2]","[53udp156206SF, 2]","[0icmp880OTH, 2]","[13icmp840OTH, 2]","[0icmp2800OTH, 2]","[8080tcp00RSTO, 1]","[80tcp00REJ, 1]","[3icmp1600OTH, 1]","[17832tcp00REJ, 1]","[13icmp800OTH, 1]","[123udp9696SF, 1]","[123udp1920S0, 1]",,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 288]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 569222]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 569061]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 569255]","[80tcp00S0, 512270]","[8080tcp00S0, 56910]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 246]","[53udp1560S0, 124]","[18344tcp00RSTOS0, 82]","[17576tcp00RSTOS0, 74]","[123udp960S0, 66]","[10icmp800OTH, 64]","[17832tcp00RSTOS0, 50]","[80tcp00RSTRH, 44]","[1icmp800OTH, 36]","[80tcp00RSTO, 34]","[0icmp560OTH, 30]","[0icmp800OTH, 19]","[13icmp560OTH, 13]","[53udp780S0, 8]","[53udp78206SF, 8]","[0icmp1360OTH, 7]","[8080tcp00RSTRH, 6]","[3icmp800OTH, 6]","[1icmp560OTH, 5]","[17576tcp00REJ, 5]","[13icmp800OTH, 4]","[1icmp880OTH, 3]","[17832tcp00REJ, 3]","[0icmp1120OTH, 1]","[53udp78302SF, 1]","[53udp156206SF, 1]","[1icmp1360OTH, 1]","[0icmp880OTH, 1]","[13icmp840OTH, 1]","[0icmp2800OTH, 1]","[51384tcp00RSTOS0, 1]",,,,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 205]","[666tcp00REJ, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 409885]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 409574]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 409743]","[80tcp00S0, 368834]","[8080tcp00S0, 40974]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
