Label,Fs1,Fs2,Fs3,Fs4,Fs5,Fs6,Fs7,Fs8,Fs9,Fs10,Fs11,Fs12,Fs13,Fs14,Fs15,Fs16,Fs17,Fs18,Fs19,Fs20,Fs21,Fs22,Fs23,Fs24,Fs25,Fs26,Fs27,Fs28,Fs29,Fs30,Fs31,Fs32
Benign,"[53udp9090SF, 84]","[53udp1560S0, 43]","[17576tcp00RSTOS0, 42]","[10icmp800OTH, 28]","[17832tcp00RSTOS0, 20]","[123udp960S0, 18]","[18344tcp00RSTOS0, 17]","[0icmp560OTH, 13]","[80tcp00RSTRH, 13]","[1icmp800OTH, 10]","[0icmp800OTH, 9]","[80tcp00RSTO, 8]","[1icmp560OTH, 6]","[13icmp560OTH, 4]","[17576tcp00REJ, 4]","[17832tcp00REJ, 2]","[3icmp800OTH, 2]","[8080tcp00RSTRH, 2]","[53udp78206SF, 2]","[53udp780S0, 2]","[13icmp1360OTH, 1]","[123udp19201824SF, 1]","[53udp7878SF, 1]","[123udp24962400SF, 1]","[1icmp880OTH, 1]","[8080tcp00RSTO, 1]","[53udp156206SF, 1]","[0icmp1360OTH, 1]",,,,
C&C-HeartBeat,"[666tcp00S0, 70]","[666tcp00REJ, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142384]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142227]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142400]","[80tcp00S0, 128027]","[8080tcp00S0, 14227]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 96]","[53udp1560S0, 48]","[18344tcp00RSTOS0, 28]","[10icmp800OTH, 18]","[17576tcp00RSTOS0, 16]","[123udp960S0, 16]","[80tcp00RSTO, 13]","[17832tcp00RSTOS0, 13]","[80tcp00RSTRH, 11]","[0icmp560OTH, 9]","[1icmp800OTH, 8]","[0icmp800OTH, 8]","[17576tcp00REJ, 5]","[13icmp560OTH, 5]","[0icmp1360OTH, 4]","[3icmp800OTH, 2]","[53udp156206SF, 2]","[1icmp880OTH, 2]","[53udp780S0, 2]","[80tcp00REJ, 1]","[18344tcp00REJ, 1]","[123udp672576SF, 1]","[50914tcp00REJ, 1]","[1icmp560OTH, 1]","[8080tcp00RSTO, 1]",,,,,,,
C&C-HeartBeat,"[666tcp00S0, 70]","[666tcp00REJ, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142221]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142391]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142241]","[80tcp00S0, 128189]","[8080tcp00S0, 14242]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 110]","[53udp1560S0, 54]","[17576tcp00RSTOS0, 27]","[17832tcp00RSTOS0, 26]","[18344tcp00RSTOS0, 20]","[10icmp800OTH, 19]","[80tcp00RSTRH, 17]","[0icmp560OTH, 13]","[80tcp00RSTO, 12]","[123udp960S0, 11]","[1icmp800OTH, 11]","[0icmp800OTH, 9]","[13icmp560OTH, 9]","[3icmp800OTH, 6]","[8080tcp00RSTRH, 4]","[1icmp880OTH, 3]","[17576tcp00REJ, 3]","[13icmp840OTH, 2]","[123udp672576SF, 1]","[123udp288192SF, 1]","[1icmp560OTH, 1]","[123udp13441248SF, 1]","[123udp16321536SF, 1]","[13icmp1360OTH, 1]","[8080tcp00RSTO, 1]","[0icmp1360OTH, 1]","[53udp78206SF, 1]","[53udp780S0, 1]",,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142229]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142384]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142235]","[80tcp00S0, 128180]","[8080tcp00S0, 14242]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 92]","[53udp1560S0, 47]","[18344tcp00RSTOS0, 36]","[10icmp800OTH, 30]","[123udp960S0, 23]","[0icmp560OTH, 18]","[17576tcp00RSTOS0, 16]","[80tcp00RSTO, 12]","[17832tcp00RSTOS0, 11]","[80tcp00RSTRH, 11]","[1icmp800OTH, 8]","[13icmp560OTH, 6]","[0icmp800OTH, 6]","[53udp780S0, 3]","[0icmp1360OTH, 3]","[17576tcp00REJ, 2]","[53udp156206SF, 2]","[13icmp840OTH, 2]","[1icmp560OTH, 2]","[1icmp880OTH, 2]","[3icmp800OTH, 2]","[8080tcp00RSTRH, 2]","[123udp1920S0, 1]","[53udp78206SF, 1]","[123udp384288SF, 1]","[17832tcp00REJ, 1]","[0icmp880OTH, 1]","[3icmp1600OTH, 1]","[123udp672576SF, 1]",,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142388]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142391]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142153]","[80tcp00S0, 128032]","[8080tcp00S0, 14222]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 92]","[53udp1560S0, 46]","[18344tcp00RSTOS0, 45]","[10icmp800OTH, 24]","[80tcp00RSTRH, 16]","[1icmp800OTH, 16]","[17576tcp00RSTOS0, 15]","[123udp960S0, 14]","[17832tcp00RSTOS0, 12]","[80tcp00RSTO, 11]","[0icmp560OTH, 7]","[0icmp800OTH, 7]","[3icmp800OTH, 4]","[53udp780S0, 3]","[53udp156206SF, 2]","[13icmp560OTH, 2]","[1icmp560OTH, 2]","[53udp78206SF, 1]","[123udp12481152SF, 1]","[8080tcp00RSTRH, 1]","[17576tcp00REJ, 1]",,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142387]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142229]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142310]","[80tcp00S0, 127886]","[8080tcp00S0, 14206]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 112]","[53udp1560S0, 55]","[18344tcp00RSTOS0, 50]","[17576tcp00RSTOS0, 17]","[10icmp800OTH, 16]","[17832tcp00RSTOS0, 13]","[80tcp00RSTRH, 12]","[0icmp560OTH, 12]","[123udp960S0, 12]","[1icmp800OTH, 11]","[0icmp800OTH, 11]","[80tcp00RSTO, 4]","[3icmp800OTH, 4]","[8080tcp00RSTRH, 3]","[1icmp880OTH, 3]","[1icmp560OTH, 3]","[0icmp1360OTH, 2]","[13icmp560OTH, 2]","[17576tcp00REJ, 2]","[0icmp1600OTH, 1]","[123udp768672SF, 1]","[8080tcp00RSTO, 1]","[0icmp2800OTH, 1]","[123udp672576SF, 1]",,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142383]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142226]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142235]","[80tcp00S0, 128017]","[8080tcp00S0, 14227]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 110]","[53udp1560S0, 56]","[18344tcp00RSTOS0, 38]","[10icmp800OTH, 30]","[17576tcp00RSTOS0, 20]","[1icmp800OTH, 14]","[123udp960S0, 13]","[80tcp00RSTO, 12]","[0icmp800OTH, 12]","[17832tcp00RSTOS0, 11]","[0icmp560OTH, 10]","[13icmp560OTH, 9]","[80tcp00RSTRH, 8]","[1icmp880OTH, 5]","[1icmp560OTH, 4]","[3icmp800OTH, 3]","[0icmp1360OTH, 2]","[17576tcp00REJ, 2]","[13icmp840OTH, 2]","[8080tcp00RSTRH, 2]","[123udp1056960SF, 1]",,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142232]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142229]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142399]","[80tcp00S0, 128040]","[8080tcp00S0, 14221]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 104]","[53udp1560S0, 51]","[18344tcp00RSTOS0, 41]","[80tcp00RSTRH, 23]","[17576tcp00RSTOS0, 22]","[80tcp00RSTO, 20]","[17832tcp00RSTOS0, 17]","[123udp960S0, 16]","[10icmp800OTH, 13]","[13icmp560OTH, 12]","[0icmp560OTH, 12]","[0icmp800OTH, 11]","[1icmp560OTH, 4]","[1icmp800OTH, 4]","[17576tcp00REJ, 3]","[0icmp1360OTH, 2]","[3icmp800OTH, 2]","[123udp22082112SF, 1]","[1icmp880OTH, 1]","[0icmp2800OTH, 1]","[8080tcp00RSTRH, 1]","[13icmp800OTH, 1]","[53udp78206SF, 1]","[53udp780S0, 1]","[17832tcp00REJ, 1]",,,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142227]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142394]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142233]","[80tcp00S0, 128050]","[8080tcp00S0, 14224]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 94]","[53udp1560S0, 47]","[18344tcp00RSTOS0, 28]","[10icmp800OTH, 28]","[17576tcp00RSTOS0, 25]","[1icmp800OTH, 16]","[123udp960S0, 14]","[17832tcp00RSTOS0, 14]","[80tcp00RSTRH, 12]","[0icmp560OTH, 11]","[80tcp00RSTO, 10]","[0icmp800OTH, 8]","[13icmp560OTH, 7]","[1icmp560OTH, 6]","[0icmp1360OTH, 5]","[17576tcp00REJ, 4]","[53udp78206SF, 3]","[53udp780S0, 3]","[8080tcp00RSTO, 2]","[1icmp880OTH, 2]","[3icmp800OTH, 2]","[17832tcp00REJ, 1]","[8080tcp00RSTRH, 1]","[123udp384288SF, 1]",,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 71]","[666tcp00REJ, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142074]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142230]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142396]","[80tcp00S0, 128171]","[8080tcp00S0, 14244]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 82]","[53udp1560S0, 42]","[18344tcp00RSTOS0, 40]","[17832tcp00RSTOS0, 32]","[10icmp800OTH, 31]","[123udp960S0, 26]","[17576tcp00RSTOS0, 17]","[1icmp800OTH, 12]","[80tcp00RSTO, 11]","[0icmp560OTH, 9]","[0icmp800OTH, 8]","[80tcp00RSTRH, 8]","[13icmp560OTH, 6]","[1icmp560OTH, 4]","[0icmp1360OTH, 3]","[53udp780S0, 3]","[17576tcp00REJ, 2]","[123udp384288SF, 2]","[53udp78206SF, 2]","[44820tcp00RSTOS0, 1]","[1icmp880OTH, 1]","[123udp1056960SF, 1]","[53udp156206SF, 1]",,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 71]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142227]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142385]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142236]","[80tcp00S0, 127780]","[8080tcp00S0, 14195]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 102]","[53udp1560S0, 51]","[17832tcp00RSTOS0, 26]","[10icmp800OTH, 23]","[18344tcp00RSTOS0, 21]","[80tcp00RSTRH, 19]","[17576tcp00RSTOS0, 18]","[123udp960S0, 15]","[13icmp560OTH, 14]","[80tcp00RSTO, 14]","[1icmp800OTH, 12]","[0icmp560OTH, 12]","[0icmp800OTH, 12]","[8080tcp00RSTRH, 4]","[3icmp800OTH, 3]","[0icmp1360OTH, 2]","[1icmp560OTH, 2]","[0icmp2800OTH, 1]","[1icmp880OTH, 1]","[53udp780S0, 1]","[53udp78206SF, 1]","[123udp19201824SF, 1]","[17576tcp00REJ, 1]",,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142392]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142223]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142395]","[80tcp00S0, 128009]","[8080tcp00S0, 14220]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 96]","[53udp1560S0, 47]","[17576tcp00RSTOS0, 35]","[10icmp800OTH, 21]","[80tcp00RSTRH, 18]","[123udp960S0, 18]","[18344tcp00RSTOS0, 16]","[0icmp560OTH, 16]","[17832tcp00RSTOS0, 14]","[0icmp800OTH, 14]","[1icmp800OTH, 13]","[80tcp00RSTO, 10]","[13icmp560OTH, 9]","[3icmp800OTH, 4]","[53udp78206SF, 3]","[53udp780S0, 3]","[8080tcp00RSTRH, 2]","[1icmp560OTH, 1]","[8080tcp00RSTO, 1]","[3icmp3200OTH, 1]","[17576tcp00REJ, 1]","[0icmp1360OTH, 1]","[13icmp840OTH, 1]","[1icmp880OTH, 1]","[123udp576480SF, 1]",,,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142394]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142397]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142238]","[80tcp00S0, 128174]","[8080tcp00S0, 14240]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 78]","[53udp1560S0, 43]","[18344tcp00RSTOS0, 30]","[80tcp00RSTRH, 25]","[10icmp800OTH, 25]","[17576tcp00RSTOS0, 23]","[123udp960S0, 17]","[80tcp00RSTO, 16]","[0icmp560OTH, 14]","[0icmp800OTH, 8]","[17832tcp00RSTOS0, 7]","[0icmp1360OTH, 6]","[1icmp880OTH, 4]","[1icmp800OTH, 4]","[13icmp560OTH, 4]","[53udp780S0, 4]","[53udp1800S0, 4]","[1icmp560OTH, 4]","[8080tcp00RSTRH, 2]","[53udp78206SF, 2]","[53udp156206SF, 2]","[3icmp800OTH, 2]","[13icmp840OTH, 1]","[17576tcp00REJ, 1]","[123udp14401344SF, 1]","[8080tcp00RSTO, 1]","[17832tcp00REJ, 1]","[123udp1920S0, 1]",,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142385]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142386]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142343]","[80tcp00S0, 127902]","[8080tcp00S0, 14208]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 90]","[18344tcp00RSTOS0, 47]","[53udp1560S0, 46]","[10icmp800OTH, 27]","[17576tcp00RSTOS0, 23]","[17832tcp00RSTOS0, 18]","[123udp960S0, 18]","[0icmp560OTH, 12]","[1icmp800OTH, 10]","[0icmp800OTH, 7]","[80tcp00RSTRH, 6]","[80tcp00RSTO, 5]","[13icmp560OTH, 4]","[1icmp560OTH, 3]","[1icmp880OTH, 3]","[0icmp1360OTH, 2]","[53udp156206SF, 2]","[53udp780S0, 2]","[0icmp920OTH, 1]","[123udp672576SF, 1]","[3icmp800OTH, 1]","[17576tcp00REJ, 1]","[13icmp840OTH, 1]",,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 70]","[666tcp00REJ, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142388]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142226]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142279]","[80tcp00S0, 128017]","[8080tcp00S0, 14224]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 90]","[53udp1560S0, 44]","[18344tcp00RSTOS0, 44]","[123udp960S0, 32]","[17576tcp00RSTOS0, 24]","[10icmp800OTH, 21]","[17832tcp00RSTOS0, 18]","[1icmp800OTH, 12]","[80tcp00RSTO, 11]","[0icmp560OTH, 10]","[0icmp800OTH, 9]","[80tcp00RSTRH, 6]","[0icmp1360OTH, 3]","[1icmp560OTH, 3]","[53udp780S0, 3]","[3icmp800OTH, 2]","[53udp156206SF, 2]","[13icmp840OTH, 1]","[0icmp1600OTH, 1]","[53udp78206SF, 1]","[17576tcp00REJ, 1]","[8080tcp00RSTO, 1]","[45314tcp00RSTOS0, 1]","[1icmp1120OTH, 1]","[13icmp560OTH, 1]","[17832tcp00REJ, 1]","[1icmp880OTH, 1]",,,,,
C&C-HeartBeat,"[666tcp00S0, 71]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142068]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142393]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142390]","[80tcp00S0, 128166]","[8080tcp00S0, 14240]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 94]","[53udp1560S0, 48]","[18344tcp00RSTOS0, 28]","[17576tcp00RSTOS0, 25]","[10icmp800OTH, 23]","[123udp960S0, 23]","[17832tcp00RSTOS0, 15]","[1icmp800OTH, 14]","[0icmp560OTH, 11]","[0icmp800OTH, 9]","[80tcp00RSTRH, 9]","[80tcp00RSTO, 8]","[13icmp560OTH, 6]","[1icmp560OTH, 4]","[53udp780S0, 3]","[53udp78206SF, 3]","[0icmp1360OTH, 2]","[3icmp800OTH, 2]","[17832tcp00REJ, 1]","[45396tcp00RSTOS0, 1]","[17576tcp00REJ, 1]","[13icmp840OTH, 1]","[8080tcp00RSTO, 1]","[8080tcp00RSTRH, 1]","[0icmp2800OTH, 1]",,,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142387]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142389]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142069]","[80tcp00S0, 128022]","[8080tcp00S0, 14227]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 90]","[53udp1560S0, 45]","[18344tcp00RSTOS0, 44]","[10icmp800OTH, 29]","[17832tcp00RSTOS0, 26]","[17576tcp00RSTOS0, 21]","[123udp960S0, 17]","[80tcp00RSTO, 17]","[1icmp800OTH, 16]","[80tcp00RSTRH, 14]","[0icmp560OTH, 11]","[0icmp800OTH, 10]","[13icmp560OTH, 7]","[8080tcp00RSTRH, 3]","[1icmp560OTH, 3]","[53udp780S0, 2]","[17576tcp00REJ, 2]","[53udp78206SF, 2]","[1icmp880OTH, 2]","[0icmp1360OTH, 2]","[3icmp800OTH, 2]","[0icmp1600OTH, 1]","[13icmp800OTH, 1]","[0icmp840OTH, 1]",,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142236]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142067]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142397]","[80tcp00S0, 128195]","[8080tcp00S0, 14239]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 102]","[53udp1560S0, 50]","[18344tcp00RSTOS0, 39]","[17576tcp00RSTOS0, 28]","[17832tcp00RSTOS0, 23]","[123udp960S0, 21]","[10icmp800OTH, 17]","[0icmp560OTH, 16]","[1icmp800OTH, 15]","[80tcp00RSTRH, 15]","[80tcp00RSTO, 13]","[0icmp800OTH, 13]","[13icmp560OTH, 10]","[8080tcp00RSTRH, 6]","[1icmp880OTH, 2]","[1icmp560OTH, 2]","[3icmp800OTH, 2]","[0icmp1360OTH, 2]","[53udp780S0, 2]","[17832tcp00REJ, 1]","[17576tcp00REJ, 1]","[3icmp560OTH, 1]","[53udp156206SF, 1]","[53udp78206SF, 1]",,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142396]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142224]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142229]","[80tcp00S0, 128032]","[8080tcp00S0, 14224]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 104]","[53udp1560S0, 52]","[17576tcp00RSTOS0, 40]","[18344tcp00RSTOS0, 27]","[10icmp800OTH, 19]","[123udp960S0, 17]","[17832tcp00RSTOS0, 15]","[1icmp800OTH, 12]","[80tcp00RSTO, 9]","[0icmp560OTH, 9]","[13icmp560OTH, 7]","[80tcp00RSTRH, 7]","[0icmp800OTH, 5]","[1icmp560OTH, 3]","[8080tcp00RSTRH, 2]","[1icmp1360OTH, 2]","[0icmp1360OTH, 2]","[13icmp800OTH, 1]","[3icmp800OTH, 1]","[1icmp880OTH, 1]","[53udp780S0, 1]","[53udp78206SF, 1]","[17576tcp00REJ, 1]",,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142385]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142390]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142224]","[80tcp00S0, 128165]","[8080tcp00S0, 14235]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 108]","[53udp1560S0, 55]","[10icmp800OTH, 28]","[18344tcp00RSTOS0, 21]","[17576tcp00RSTOS0, 21]","[17832tcp00RSTOS0, 15]","[0icmp560OTH, 13]","[123udp960S0, 13]","[80tcp00RSTO, 9]","[13icmp560OTH, 8]","[80tcp00RSTRH, 7]","[1icmp800OTH, 5]","[1icmp880OTH, 3]","[8080tcp00RSTRH, 2]","[0icmp1360OTH, 2]","[1icmp560OTH, 2]","[0icmp800OTH, 2]","[123udp576192SF, 1]","[3icmp560OTH, 1]","[1icmp1360OTH, 1]","[8080tcp00RSTO, 1]","[17576tcp00REJ, 1]",,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142229]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142221]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142394]","[80tcp00S0, 128031]","[8080tcp00S0, 14224]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 110]","[53udp1560S0, 54]","[17576tcp00RSTOS0, 37]","[18344tcp00RSTOS0, 26]","[17832tcp00RSTOS0, 24]","[10icmp800OTH, 19]","[80tcp00RSTRH, 18]","[0icmp560OTH, 15]","[80tcp00RSTO, 12]","[1icmp800OTH, 11]","[123udp960S0, 9]","[0icmp800OTH, 8]","[3icmp800OTH, 4]","[1icmp880OTH, 4]","[13icmp560OTH, 3]","[0icmp1360OTH, 2]","[17576tcp00REJ, 1]","[8080tcp00RSTRH, 1]","[1icmp560OTH, 1]","[1icmp1360OTH, 1]",,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142218]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142391]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142395]","[80tcp00S0, 128038]","[8080tcp00S0, 14223]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 86]","[53udp1560S0, 54]","[18344tcp00RSTOS0, 31]","[10icmp800OTH, 28]","[17576tcp00RSTOS0, 21]","[80tcp00RSTRH, 20]","[17832tcp00RSTOS0, 19]","[123udp960S0, 17]","[1icmp800OTH, 13]","[80tcp00RSTO, 10]","[53udp1800S0, 10]","[0icmp560OTH, 9]","[0icmp1360OTH, 8]","[0icmp800OTH, 8]","[13icmp560OTH, 7]","[1icmp560OTH, 3]","[45990tcp00RSTOS0, 1]","[0icmp2800OTH, 1]","[1icmp880OTH, 1]","[0icmp920OTH, 1]","[8080tcp00RSTRH, 1]","[17576tcp00REJ, 1]","[3icmp800OTH, 1]","[53udp78206SF, 1]","[53udp780S0, 1]","[8080tcp00RSTO, 1]",,,,,,
C&C-HeartBeat,"[666tcp00S0, 71]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142386]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142224]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142225]","[80tcp00S0, 128032]","[8080tcp00S0, 14225]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 77]","[53udp1560S0, 38]","[123udp960S0, 34]","[18344tcp00RSTOS0, 31]","[10icmp800OTH, 23]","[17832tcp00RSTOS0, 21]","[17576tcp00RSTOS0, 17]","[80tcp00RSTRH, 15]","[80tcp00RSTO, 15]","[1icmp800OTH, 10]","[0icmp560OTH, 9]","[1icmp560OTH, 6]","[0icmp800OTH, 6]","[13icmp560OTH, 5]","[53udp780S0, 5]","[53udp78206SF, 4]","[0icmp1360OTH, 2]","[8080tcp00RSTRH, 2]","[17832tcp00REJ, 2]","[0icmp2880OTH, 1]","[53udp18090SF, 1]","[53udp156206SF, 1]","[17576tcp00REJ, 1]","[0icmp1600OTH, 1]","[18344tcp00REJ, 1]",,,,,,,
